model,mean_fz_loss,rank
neural_bekk_asym_diag,-2.9220382886066623,1
bekk_lstm_mix,-2.88991674795702,2
bekk_lstm_scalar,-2.882027848984307,3
bekk_symmetric,-2.8461194356256123,4
bekk_asymmetric,-2.8432903995653662,5
lstm_normal,-2.8385990749778385,6
bekk_lstm_vector,-2.8335205078976995,7
lstm_student,-2.822837565931711,8
dcc,-2.8151895691394064,9
adcc,-2.8151895674951373,10
gru_student,-2.812145334854297,11
gru_normal,-2.8012387513382895,12
