,N,Mean,SD,Skew,Kurtosis,Min,Max,JB,JB p,LB$_{10}(r_t)$,LB$_{10}(r_t)$ p,LB$_{10}(r_t^2)$,LB$_{10}(r_t^2)$ p,ADF,ADF p
^GSPC,6427.0,0.025210259025217202,1.2134599754921362,-0.3526173383756794,14.005877792099945,-12.7652197472817,10.957196759533879,32514.617538830807,0.0,106.35938299488676,2.8866713537681047e-18,5997.817410601034,0.0,-19.933498803674578,0.0
GC=F,6427.0,0.04409616815482107,1.1230857346636471,-0.4840574125404357,9.896030451618286,-12.065691771157459,8.6431656660304,12962.518281618568,0.0,22.64659874271419,0.01212895070744957,578.2512801199624,8.025909324848849e-118,-32.07690639464391,0.0
CL=F,6427.0,0.02672326532513808,2.6206722428972493,-0.09180191317027805,18.755917324489502,-28.220613410748506,31.96336300150673,66376.77337070377,0.0,25.275471741072888,0.004847101701722501,3099.2635066579974,0.0,-14.465949677957163,6.726729205370828e-27
^TNX,6427.0,-0.020833987924086885,5.785320434394288,0.03576793525213286,5.301966996490567,-47.00000286102295,33.20000171661377,1417.0554582921454,1.951268153042872e-308,19.02009581291203,0.040008176189720926,1053.6945979919317,5.0461085540125475e-220,-59.5675406291611,0.0
