model,mean_fz_loss,rank
neural_bekk_asym_diag,-2.9186294086417046,1
gru_normal,-2.9084342632038873,2
bekk_lstm_scalar,-2.8942800471277033,3
bekk_lstm_mix,-2.893867883356733,4
lstm_normal,-2.874497229275111,5
bekk_lstm_vector,-2.8672465109252876,6
gru_student,-2.8662580843057133,7
bekk_symmetric,-2.8461194356256123,8
lstm_student,-2.843849012331378,9
bekk_asymmetric,-2.8432903995653662,10
dcc,-2.8151895691394064,11
adcc,-2.8151895674951373,12
