seed,model,pval_kupiec,pval_christoffersen_ind,pval_christoffersen_cc,pval_dq,pval_er,pval_cc,pval_esr_v1,pval_esr_v2,pval_esr_v3,pval_mcs,in_mcs
0,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.231,True
1,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.233,True
2,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.234,True
3,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.303,True
4,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.307,True
5,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.617,True
6,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.105,True
7,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.208,True
8,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.098,False
9,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.27,True
42,adcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.200240507232998e-06,0.916,1.0,0.44963937506621543,0.29475595783799724,0.8803966809246425,0.527,True
0,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.416,True
1,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.318,True
2,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.552,True
3,bekk_asymmetric,0.2428716626058993,0.17140187074296617,0.19844490139815685,0.0007528904429318084,0.928,1.0,0.2771666530917769,0.3000359763010917,0.8985419186854717,0.725,True
