seed,model,metric,value
3,lstm_normal,alpha,0.01
3,lstm_student,alpha,0.01
3,gru_normal,alpha,0.01
3,gru_student,alpha,0.01
3,bekk_lstm_vector,alpha,0.01
3,bekk_lstm_scalar,alpha,0.01
3,bekk_lstm_mix,alpha,0.01
3,neural_bekk_asym_diag,alpha,0.01
3,bekk_symmetric,alpha,0.01
3,bekk_asymmetric,alpha,0.01
3,dcc,alpha,0.01
3,adcc,alpha,0.01
4,lstm_normal,alpha,0.01
4,lstm_student,alpha,0.01
4,gru_normal,alpha,0.01
4,gru_student,alpha,0.01
4,bekk_lstm_vector,alpha,0.01
4,bekk_lstm_scalar,alpha,0.01
4,bekk_lstm_mix,alpha,0.01
4,neural_bekk_asym_diag,alpha,0.01
4,bekk_symmetric,alpha,0.01
4,bekk_asymmetric,alpha,0.01
4,dcc,alpha,0.01
4,adcc,alpha,0.01
5,lstm_normal,alpha,0.01
5,lstm_student,alpha,0.01
5,gru_normal,alpha,0.01
5,gru_student,alpha,0.01
5,bekk_lstm_vector,alpha,0.01
5,bekk_lstm_scalar,alpha,0.01
5,bekk_lstm_mix,alpha,0.01
5,neural_bekk_asym_diag,alpha,0.01
5,bekk_symmetric,alpha,0.01
5,bekk_asymmetric,alpha,0.01
5,dcc,alpha,0.01
5,adcc,alpha,0.01
6,lstm_normal,alpha,0.01
6,lstm_student,alpha,0.01
6,gru_normal,alpha,0.01
6,gru_student,alpha,0.01
6,bekk_lstm_vector,alpha,0.01
6,bekk_lstm_scalar,alpha,0.01
6,bekk_lstm_mix,alpha,0.01
6,neural_bekk_asym_diag,alpha,0.01
6,bekk_symmetric,alpha,0.01
6,bekk_asymmetric,alpha,0.01
6,dcc,alpha,0.01
6,adcc,alpha,0.01
7,lstm_normal,alpha,0.01
7,lstm_student,alpha,0.01
7,gru_normal,alpha,0.01
7,gru_student,alpha,0.01
7,bekk_lstm_vector,alpha,0.01
7,bekk_lstm_scalar,alpha,0.01
7,bekk_lstm_mix,alpha,0.01
7,neural_bekk_asym_diag,alpha,0.01
7,bekk_symmetric,alpha,0.01
7,bekk_asymmetric,alpha,0.01
7,dcc,alpha,0.01
7,adcc,alpha,0.01
8,lstm_normal,alpha,0.01
8,lstm_student,alpha,0.01
8,gru_normal,alpha,0.01
8,gru_student,alpha,0.01
8,bekk_lstm_vector,alpha,0.01
8,bekk_lstm_scalar,alpha,0.01
8,bekk_lstm_mix,alpha,0.01
8,neural_bekk_asym_diag,alpha,0.01
