model,mean_fz_loss,rank
bekk_lstm_mix,-2.8880154581762785,1
bekk_lstm_scalar,-2.887248277478362,2
neural_bekk_asym_diag,-2.886476016074213,3
gru_normal,-2.883684320646216,4
bekk_lstm_vector,-2.8660662465537863,5
bekk_symmetric,-2.8461194356256123,6
gru_student,-2.843657427505362,7
bekk_asymmetric,-2.8432903995653662,8
lstm_normal,-2.8200440168030285,9
dcc,-2.8151895691394064,10
adcc,-2.8151895674951373,11
lstm_student,-2.7770002365023836,12
