lstm_normal,lstm_student,gru_normal,gru_student,bekk_lstm_scalar,bekk_lstm_vector,bekk_lstm_mix,neural_bekk_asym_diag,bekk_symmetric,bekk_asymmetric,dcc,adcc
-3.0554112415258117,-2.949708558011116,-2.894207254616497,-2.823206834360656,-2.8601213535161945,-2.9495286007304538,-2.8810283206665375,-2.874125141839092,-2.8210216607903087,-2.796680735341916,-2.8565428335262615,-2.856542828757517
-2.987600934518454,-2.8935495554556194,-2.9036533867966825,-2.8290777427979044,-2.869203525757911,-2.9627772646431563,-2.8778592793054982,-2.8717402087018518,-2.825788055265052,-2.8020791434070067,-2.8723034227337885,-2.872303417780596
-3.0202148760148457,-2.9389632281942792,-2.9014333059009605,-2.827472280746783,-2.844610629129024,-2.936167134702332,-2.855211140128172,-2.8798453556023524,-2.8296236266106214,-2.8055498825854563,-2.8672260318984573,-2.8672260270179026
-2.9670947759049167,-2.8619699290954506,-2.880966521836159,-2.826233433700835,-2.8395240531675743,-2.8967063859753135,-2.8373386176080255,-2.8841045254228996,-2.8347657444200243,-2.8130565974228454,-2.8861432632792177,-2.8861432582606867
-3.046368583473011,-2.9326153319595116,-2.875170496132902,-2.825489938226774,-2.8119582881675864,-2.873692437587595,-2.799540899967162,-2.8120326743127357,-2.8205657195314178,-2.8010688101309493,-2.8623706249295813,-2.862370619407901
-2.9661767663654564,-2.874312138165726,-2.8435135183075175,-2.81478429012196,-2.7657936633081164,-2.800099886827043,-2.763909693109662,-2.784725696916111,-2.80791102163015,-2.784518720286146,-2.847485330842143,-2.8474853252678423
-2.984295661975265,-2.865203359442893,-2.8368388846803527,-2.8199278530691685,-2.776366493399177,-2.8260589634214743,-2.7787793651932637,-2.802139955039789,-2.8244114025992437,-2.800231992899089,-2.8725766603547456,-2.872576654930312
-2.9329236684020685,-2.863283245181719,-2.823564604302411,-2.8117011213860037,-2.7860166302330764,-2.8278225484060244,-2.7751485406873337,-2.77205873980342,-2.8311228879009884,-2.8060504587378374,-2.841253718759831,-2.8412537149495645
-2.8815922075096214,-2.716663518215976,-2.8135863609420726,-2.8091441841362026,-2.783487354964759,-2.813484864553534,-2.764844716354265,-2.762502557186343,-2.8342636845040774,-2.8095870889319996,-2.8536034566670128,-2.8536034528370897
-2.885235781700075,-2.7572107410158226,-2.793393866819435,-2.7896022184456886,-2.759473929402156,-2.7717568432843347,-2.7355507907555383,-2.6895263616751888,-2.816802996849286,-2.7939148276317765,-2.8124346056012,-2.812434602158652
-2.8093907950049535,-2.7765047552868065,-2.762298848985262,-2.7483987393648905,-2.7232388898180178,-2.701180649156736,-2.7008640967976487,-2.688019787813568,-2.8078442352641475,-2.785399647328846,-2.78291960158264,-2.782919598105694
-2.8425042194747263,-2.7599167969527523,-2.7590598892430873,-2.7458088794448896,-2.781042774878241,-2.7304982199638976,-2.7579261781802487,-2.718235599358465,-2.815733469165826,-2.7932601128199908,-2.807130846377879,-2.807130842741377
-2.7907659387453956,-2.78007204129183,-2.755461915890609,-2.74261625150798,-2.82438241355179,-2.753943684243732,-2.8035567891833244,-2.751506814128291,-2.7999714388654895,-2.781791966718017,-2.8119669915504764,-2.811966987379508
-2.839921823189484,-2.8237189240117915,-2.765128850517071,-2.7495037256423056,-2.8749157704513273,-2.783648067176018,-2.853478664537236,-2.7848671217325065,-2.803008409595106,-2.7861020317214713,-2.8322598347689927,-2.832259830230728
-2.8046611816784477,-2.765793855903127,-2.7309126484376454,-2.735391757538571,-2.8664042922758375,-2.7421055050122414,-2.825506497335118,-2.7869440713694713,-2.813570208707793,-2.798346657995681,-2.841557792100558,-2.841557787811194
-2.8603873119576555,-2.8173194174494727,-2.7566204160045213,-2.761045530159217,-2.9068979594365203,-2.7955093712277916,-2.854823404310957,-2.824898161337629,-2.8336955641516632,-2.8169235165251774,-2.871999550987082,-2.8719995466725203
-2.918158018302316,-2.805501020923687,-2.7479665639749977,-2.7579348319693926,-2.892189949359431,-2.7889546003404693,-2.8342640382064235,-2.8305567711285953,-2.8465027568177104,-2.8304399714826602,-2.880480796040887,-2.880480792242
-2.8304610870527274,-2.688478928813266,-2.7539224077664484,-2.761146661032506,-2.903123222498426,-2.792444365250439,-2.8380461983754763,-2.844760172526172,-2.865497154995594,-2.847994630686951,-2.9120231375969343,-2.9120231336970943
-2.954397005786358,-2.8032715436145623,-2.7704660188564834,-2.7660773917761095,-2.919134050813428,-2.820967158084164,-2.854834117144284,-2.8537488693211563,-2.8753666808737206,-2.857507284606431,-2.9339762374684466,-2.9339762333762143
-2.9212343541574515,-2.7869990898260597,-2.776042227659559,-2.7681004643583504,-2.918477112753205,-2.833508031052022,-2.8534271540752214,-2.843049423242646,-2.8934679621260426,-2.874028913398529,-2.939737525529288,-2.9397375220200566
-2.880838040349978,-2.6903672477527123,-2.7600193168140823,-2.748281930580217,-2.832484598000791,-2.794682721677368,-2.801755721086659,-2.7966895995834613,-2.8745412997997133,-2.858819279526946,-2.939100318561508,-2.9391003143046106
-2.770281407418457,-2.6394470382624315,-2.7053488463482966,-2.6949031631434153,-2.689359816040963,-2.710076622511672,-2.6985132861032897,-2.607089858861196,-2.815715300346036,-2.805254108242438,-2.8169883165877616,-2.8169883123805253
-2.6335269916956605,-2.5911461548609505,-2.6345222224905376,-2.629009203231873,-2.625972189117406,-2.6687379395860007,-2.6603021481793094,-2.600291940521766,-2.784570050539973,-2.7793961133992893,-2.7957432499493406,-2.795743245315623
-2.553338710668786,-2.4579818729392695,-2.6040598730449545,-2.6037845600864644,-2.6332226466168756,-2.6300442465105656,-2.6310029229404055,-2.55394662012444,-2.7849890878503136,-2.7772781233786694,-2.738320000443955,-2.7383199973994667
-2.5700316376161636,-2.5054550249550362,-2.593531028191463,-2.59197683689948,-2.6597859267321553,-2.6047448507061577,-2.632372454841626,-2.549876829358341,-2.777111951247471,-2.7699782664312487,-2.738647895774024,-2.738647892387684
-2.4172304313910495,-2.347785107949211,-2.5848532800571706,-2.5887569262198613,-2.5557223484201375,-2.486354140904777,-2.5040431642916694,-2.532430493927689,-2.768100437634111,-2.757429159556063,-2.6212082101427727,-2.621208209429416
-2.390912940048049,-2.3342931353451246,-2.5550577221330566,-2.5621895471907665,-2.614149466267434,-2.4809123102045847,-2.533255998526246,-2.555451368689058,-2.782868628283043,-2.7710783152607683,-2.645953634586113,-2.6459536337086305
-2.3959539830399645,-2.3153210095789047,-2.523000417001879,-2.530419773187041,-2.644612492769648,-2.4854872616947037,-2.5602984441679766,-2.575420888496325,-2.7988376486415385,-2.785632449722269,-2.666252622991325,-2.66625262211233
-2.4303430605831386,-2.3643929781624164,-2.486655697374068,-2.501820900782936,-2.663821784951902,-2.457394644549986,-2.552084086177946,-2.5812068107963637,-2.8147609297991525,-2.800115054713385,-2.6410522295197776,-2.6410522298758803
-2.4160464259138874,-2.3799604440370556,-2.4486915404564122,-2.465997298221967,-2.720959587656627,-2.443002455614525,-2.5801672073741857,-2.6208153936198495,-2.8076655460845914,-2.796987148535038,-2.657480750296345,-2.6574807503283533
-2.4855706176962413,-2.426288911441282,-2.4462102271600146,-2.4652496769460317,-2.701611361607249,-2.4158500828725593,-2.5718770715833434,-2.5950146066147486,-2.7790431518094025,-2.769663815637707,-2.6391605180453683,-2.6391605175193256
