model,mean_fz_loss,rank
bekk_lstm_mix,-2.8997177089705284,1
bekk_lstm_scalar,-2.8955462998933594,2
gru_normal,-2.889301855356503,3
bekk_lstm_vector,-2.883760408344705,4
gru_student,-2.8800662462757685,5
neural_bekk_asym_diag,-2.878296208032183,6
bekk_symmetric,-2.8461194356256123,7
bekk_asymmetric,-2.8432903995653662,8
lstm_normal,-2.8364073190997416,9
lstm_student,-2.8222706567828286,10
dcc,-2.8151895691394064,11
adcc,-2.8151895674951373,12
