model,mean_fz_loss,rank
bekk_lstm_mix,-2.9101568904603736,1
bekk_lstm_scalar,-2.885575450595697,2
bekk_lstm_vector,-2.86504587508708,3
gru_normal,-2.859577764461775,4
neural_bekk_asym_diag,-2.8547546204015486,5
gru_student,-2.85242668421913,6
bekk_symmetric,-2.8461194356256123,7
bekk_asymmetric,-2.8432903995653662,8
dcc,-2.8151895691394064,9
adcc,-2.8151895674951373,10
lstm_normal,-2.799801157758505,11
lstm_student,-2.793997963061423,12
