model,mean_fz_loss,rank
neural_bekk_asym_diag,-2.9026648632370105,1
bekk_lstm_mix,-2.9004319789738524,2
bekk_lstm_vector,-2.8777686744918123,3
gru_student,-2.8712378795015128,4
gru_normal,-2.867919754358262,5
bekk_lstm_scalar,-2.8676384313986483,6
bekk_symmetric,-2.8461194356256123,7
bekk_asymmetric,-2.8432903995653662,8
lstm_normal,-2.8411854634617377,9
lstm_student,-2.826095690207373,10
dcc,-2.8151895691394064,11
adcc,-2.8151895674951373,12
