lstm_normal,lstm_student,gru_normal,gru_student,bekk_lstm_scalar,bekk_lstm_vector,bekk_lstm_mix,neural_bekk_asym_diag,bekk_symmetric,bekk_asymmetric,dcc,adcc
-2.8839288559292426,-2.8979076944366304,-2.821861464974882,-2.8003819396422727,-2.932158259803963,-2.8679401553682036,-2.926010075779104,-2.896112509287737,-2.8210216607903087,-2.796680735341916,-2.8565428335262615,-2.856542828757517
-2.85398667345783,-2.849253412995762,-2.8331286744282127,-2.813387060137511,-2.932881600429032,-2.8679963256617573,-2.914162100071048,-2.8923951138202795,-2.825788055265052,-2.8020791434070067,-2.8723034227337885,-2.872303417780596
-2.866705202044374,-2.8480158138417404,-2.8435826752116973,-2.820565932870847,-2.9012689816265915,-2.855848102619333,-2.892617973304379,-2.8944414392308637,-2.8296236266106214,-2.8055498825854563,-2.8672260318984573,-2.8672260270179026
-2.7976564125474743,-2.8388067332700118,-2.8469706370997527,-2.8181661547536376,-2.8778009730654937,-2.82729587403054,-2.882044915234788,-2.9020820279677197,-2.8347657444200243,-2.8130565974228454,-2.8861432632792177,-2.8861432582606867
-2.8311441310594434,-2.8585855945234298,-2.8420396953626077,-2.8009775806712787,-2.851821154844065,-2.7926196818712974,-2.8438203217091513,-2.8190240843538295,-2.8205657195314178,-2.8010688101309493,-2.8623706249295813,-2.862370619407901
-2.758392224482735,-2.8411373580053283,-2.8391410197663416,-2.78150804034509,-2.801032034478526,-2.757759270144557,-2.82039070531704,-2.7924301612235647,-2.80791102163015,-2.784518720286146,-2.847485330842143,-2.8474853252678423
-2.764974209423826,-2.831650411127785,-2.8350201584600527,-2.769019811890512,-2.8139265991781137,-2.757527939726343,-2.8426931475615067,-2.822461354597426,-2.8244114025992437,-2.800231992899089,-2.8725766603547456,-2.872576654930312
-2.7488825632903406,-2.8247583343426594,-2.822334530155769,-2.749713950052239,-2.8208051123616102,-2.7326535679795496,-2.8301053246354915,-2.790420131199003,-2.8311228879009884,-2.8060504587378374,-2.841253718759831,-2.8412537149495645
-2.6839574432264377,-2.7369699020423153,-2.7996216237083305,-2.724054111445101,-2.8167596771834487,-2.7090274219702932,-2.8134502177621026,-2.784629025419592,-2.8342636845040774,-2.8095870889319996,-2.8536034566670128,-2.8536034528370897
-2.684813553315453,-2.7033087756868737,-2.781779966312018,-2.7057475178756363,-2.774879789801999,-2.680387338884482,-2.773156453759908,-2.6989340607920247,-2.816802996849286,-2.7939148276317765,-2.8124346056012,-2.812434602158652
-2.588458365930117,-2.5580546720428776,-2.774762647747118,-2.6857636338429254,-2.7718771222276266,-2.6430023652323804,-2.733265238097551,-2.6840905498420566,-2.8078442352641475,-2.785399647328846,-2.78291960158264,-2.782919598105694
-2.6975356460387077,-2.668635120685399,-2.775080409328791,-2.6815924875719968,-2.8534255449073127,-2.680684715121699,-2.7994191616070516,-2.723789563107949,-2.815733469165826,-2.7932601128199908,-2.807130846377879,-2.807130842741377
-2.71304285403219,-2.689263068655005,-2.7705613469294113,-2.680937948058163,-2.895894092208877,-2.7139516560503205,-2.8433192709109605,-2.766602877220006,-2.7999714388654895,-2.781791966718017,-2.8119669915504764,-2.811966987379508
-2.734048778741529,-2.6940671306179294,-2.7812679114716845,-2.6942913407667244,-2.942264160404478,-2.754069103588012,-2.890771636555416,-2.8144046054264176,-2.803008409595106,-2.7861020317214713,-2.8322598347689927,-2.832259830230728
-2.715022014235081,-2.7323938032705555,-2.7746511218176906,-2.7018764419970713,-2.8888051594126365,-2.724625729078024,-2.865312350200238,-2.8313604743254386,-2.813570208707793,-2.798346657995681,-2.841557792100558,-2.841557787811194
-2.720071917418199,-2.759939118490641,-2.7930323447214,-2.737931393109068,-2.9213708858178213,-2.7703310285185547,-2.890936396087344,-2.925546580255058,-2.8336955641516632,-2.8169235165251774,-2.871999550987082,-2.8719995466725203
-2.7380046330958505,-2.803345908053183,-2.7870632778039024,-2.729922451313608,-2.8753758487116503,-2.7562364643098713,-2.866083906248307,-2.9378576731038177,-2.8465027568177104,-2.8304399714826602,-2.880480796040887,-2.880480792242
-2.7612980065750765,-2.83081742785597,-2.7892755492393317,-2.7277749434381344,-2.8696225225458174,-2.765016486544644,-2.864416695989538,-2.96611400546075,-2.865497154995594,-2.847994630686951,-2.9120231375969343,-2.9120231336970943
-2.766425888377579,-2.8604328116867292,-2.794910586781714,-2.7355280626653884,-2.870205620726039,-2.8028543902703156,-2.883029504458689,-2.9769032733126934,-2.8753666808737206,-2.857507284606431,-2.9339762374684466,-2.9339762333762143
-2.830581796503902,-2.9017042949124408,-2.79424911771128,-2.742567169302698,-2.859635464919025,-2.8116471857019643,-2.8793861040771,-2.9742236954650387,-2.8934679621260426,-2.874028913398529,-2.939737525529288,-2.9397375220200566
-2.7305508121257858,-2.8168756725666286,-2.767355778729693,-2.718869112038582,-2.7590319450025182,-2.782731206783328,-2.818165472497161,-2.8960247851879526,-2.8745412997997133,-2.858819279526946,-2.939100318561508,-2.9391003143046106
-2.678320825454895,-2.7153061562697967,-2.7158685452772127,-2.675908463412671,-2.6241805183174733,-2.6957491592449765,-2.696689445140608,-2.654831703691638,-2.815715300346036,-2.805254108242438,-2.8169883165877616,-2.8169883123805253
-2.5190217823348564,-2.5499740231900345,-2.6729154225833716,-2.6332772867473575,-2.569123486044969,-2.640466573394881,-2.658322613593736,-2.647051797435984,-2.784570050539973,-2.7793961133992893,-2.7957432499493406,-2.795743245315623
-2.580462335634593,-2.625131444256794,-2.6519774925591872,-2.6078184299308456,-2.5800209098582028,-2.5900704469880655,-2.630112528855297,-2.591138419637467,-2.7849890878503136,-2.7772781233786694,-2.738320000443955,-2.7383199973994667
-2.688061040076078,-2.6932989813831902,-2.6309911939200914,-2.5805421098147776,-2.606711846355849,-2.5573968306485435,-2.63020881053992,-2.5922710263089845,-2.777111951247471,-2.7699782664312487,-2.738647895774024,-2.738647892387684
-2.54359358576432,-2.5143973067032075,-2.6026150584610046,-2.53343845307554,-2.5948211904086405,-2.476706134605382,-2.495088943661951,-2.541091290995832,-2.768100437634111,-2.757429159556063,-2.6212082101427727,-2.621208209429416
-2.532119992648446,-2.5086434999534446,-2.5870340846121636,-2.510011039955473,-2.6844461454705995,-2.4717364520587837,-2.5315542408857423,-2.578832605275947,-2.782868628283043,-2.7710783152607683,-2.645953634586113,-2.6459536337086305
-2.510632119446744,-2.4913268107392157,-2.572865413395021,-2.4976669395492914,-2.719835357971773,-2.465021598417237,-2.562429625346458,-2.6131218648623475,-2.7988376486415385,-2.785632449722269,-2.666252622991325,-2.66625262211233
-2.5736245901551227,-2.556659860611389,-2.5499247977781057,-2.4740839682856315,-2.801604382790671,-2.4524796835695057,-2.5574730953810683,-2.6194781260881923,-2.8147609297991525,-2.800115054713385,-2.6410522295197776,-2.6410522298758803
-2.5254060950107604,-2.4835107657022926,-2.5243496596688173,-2.4490602996576447,-2.901156902959309,-2.453043282233008,-2.598397778341513,-2.64810693663142,-2.8076655460845914,-2.796987148535038,-2.657480750296345,-2.6574807503283533
-2.5039073666533618,-2.4317554496940135,-2.5341526504636684,-2.4489900163573464,-2.8638218835464113,-2.4269328306259297,-2.590757398020135,-2.619660723815904,-2.7790431518094025,-2.769663815637707,-2.6391605180453683,-2.6391605175193256
-2.547349066677201,-2.4948498344031758,-2.5428729829181225,-2.4538304947819474,-2.881525415085722,-2.418198746439809,-2.627478411184272,-2.636886156101853,-2.7902761347197016,-2.7793459528660285,-2.6581074370981534,-2.6581074363078048
-2.4943513006022435,-2.455232535027983,-2.5605114303967986,-2.4691839694757767,-2.8703046580864466,-2.3928586053646916,-2.6409995517174103,-2.649935765739608,-2.8004527498544776,-2.787439297667432,-2.6633212982093237,-2.663321297346179
-2.521212630017424,-2.4948411623929023,-2.582361010760911,-2.4865449559817443,-2.866594342725561,-2.3915001978883272,-2.664954079016708,-2.6808797595567198,-2.8093916899331846,-2.796469759118965,-2.6904263296928055,-2.6904263284857857
-2.577333827534958,-2.5626128660963357,-2.5929138509844596,-2.5011270331570365,-2.861698925258576,-2.395969522288899,-2.6939047257948365,-2.7104719815308767,-2.824516495323455,-2.809943692405848,-2.7123663730132317,-2.712366371732481
-2.5837230984717543,-2.5772424995218275,-2.610648757600978,-2.5204052166774185,-2.8127154675379202,-2.411796911104137,-2.7003449605783545,-2.719995918428808,-2.824058783397255,-2.8060454215534616,-2.7311894477885645,-2.7311894460994792
-2.5826785030035753,-2.5774419069818992,-2.6061666697413544,-2.529672149306452,-2.79494328126209,-2.4324844444446883,-2.7228904880780482,-2.736450604163016,-2.7978425870259853,-2.7846084826148436,-2.7409496799420405,-2.7409496773793665
-2.629636584701305,-2.6403395275484076,-2.62348292645402,-2.5477968848591437,-2.7572178868138213,-2.4278136797318823,-2.7231879621956527,-2.7684430890612126,-2.8031810131556107,-2.7917786453694275,-2.749614205413866,-2.7496142030441413
-2.58628496712888,-2.565087335393227,-2.611804536221168,-2.547165363799279,-2.7878460076736054,-2.444077159314209,-2.7540039942979804,-2.798749631664226,-2.810758946843625,-2.8000858038577356,-2.774473201206148,-2.7744731983357465
