model,mean_fz_loss,rank
neural_bekk_asym_diag,-2.9280687289364553,1
bekk_lstm_scalar,-2.899506409916926,2
bekk_lstm_mix,-2.8797015756907203,3
gru_normal,-2.8757081265167628,4
bekk_lstm_vector,-2.870945679772025,5
gru_student,-2.854818368288063,6
bekk_symmetric,-2.8461194356256123,7
bekk_asymmetric,-2.8432903995653662,8
dcc,-2.8151895691394064,9
adcc,-2.8151895674951373,10
lstm_student,-2.7950065508796325,11
lstm_normal,-2.7947317925086987,12
