lstm_normal,lstm_student,gru_normal,gru_student,bekk_lstm_scalar,bekk_lstm_vector,bekk_lstm_mix,neural_bekk_asym_diag,bekk_symmetric,bekk_asymmetric,dcc,adcc
-2.971180882687632,-2.913685179490807,-2.902349401017999,-2.8425297042492166,-2.8766969760471444,-2.819009039917489,-2.814940469373662,-2.8420704898993554,-2.8210216607903087,-2.796680735341916,-2.8565428335262615,-2.856542828757517
-2.9337302820166298,-2.864051164148889,-2.9080709516054073,-2.847209236355779,-2.8917016242187223,-2.8299926277856775,-2.8222964332826344,-2.839979705358977,-2.825788055265052,-2.8020791434070067,-2.8723034227337885,-2.872303417780596
-3.0291552082416984,-2.947118305617358,-2.9092975406506723,-2.8467594762717825,-2.852582649406493,-2.814954966629108,-2.814039120830224,-2.8438226022341606,-2.8296236266106214,-2.8055498825854563,-2.8672260318984573,-2.8672260270179026
-2.8989443213210393,-2.8219507632932745,-2.8990790488395177,-2.8447929630315363,-2.8303118990906526,-2.8052875307299914,-2.8098029619463865,-2.845719653375249,-2.8347657444200243,-2.8130565974228454,-2.8861432632792177,-2.8861432582606867
-2.9659903424827316,-2.875422561676774,-2.894920364283953,-2.844183417534391,-2.8027089960573432,-2.78376991241905,-2.785220829812646,-2.803568381483342,-2.8205657195314178,-2.8010688101309493,-2.8623706249295813,-2.862370619407901
-2.8895850249932526,-2.8285361055116955,-2.869810197015426,-2.8321773566314574,-2.7678314769943455,-2.765331360524719,-2.7693398480734137,-2.7885950446679457,-2.80791102163015,-2.784518720286146,-2.847485330842143,-2.8474853252678423
-2.935824945330948,-2.8688653251504173,-2.8545868058024495,-2.8215883556182626,-2.777974389264738,-2.774565425942342,-2.789711381829637,-2.802917440960256,-2.8244114025992437,-2.800231992899089,-2.8725766603547456,-2.872576654930312
-2.9202245032953673,-2.869741528054739,-2.8225341523471377,-2.789261980725965,-2.7952273846318465,-2.7468497647147028,-2.7700998602612237,-2.7884253422199743,-2.8311228879009884,-2.8060504587378374,-2.841253718759831,-2.8412537149495645
-2.888493977870819,-2.7924809117915634,-2.8078211026477318,-2.768202713854387,-2.796335187676779,-2.7305981845718477,-2.750987894622585,-2.7842361751372264,-2.8342636845040774,-2.8095870889319996,-2.8536034566670128,-2.8536034528370897
-2.8923596345837237,-2.7890733070732026,-2.7810075277380304,-2.7362322422664698,-2.7857155506086575,-2.693407817767708,-2.7039845936684794,-2.7449911737408588,-2.816802996849286,-2.7939148276317765,-2.8124346056012,-2.812434602158652
-2.8589132897350256,-2.7486737110448605,-2.759710322307509,-2.716267171048425,-2.758517930297858,-2.641507431338422,-2.6829464359277875,-2.748061608659077,-2.8078442352641475,-2.785399647328846,-2.78291960158264,-2.782919598105694
-2.9602040238429073,-2.8465603637966157,-2.771029682735794,-2.7282574128046995,-2.832985285353164,-2.6666683888505194,-2.743718736807918,-2.769047493546876,-2.815733469165826,-2.7932601128199908,-2.807130846377879,-2.807130842741377
-2.9289639864442214,-2.7869182005917703,-2.7786999250283455,-2.73505060516961,-2.873813398935044,-2.690693078579356,-2.777677774049564,-2.7958719474977745,-2.7999714388654895,-2.781791966718017,-2.8119669915504764,-2.811966987379508
-2.967525388029752,-2.8209706442495412,-2.789199960353695,-2.7416948605466285,-2.908410442652373,-2.7166862532487004,-2.811108302918386,-2.820493045012843,-2.803008409595106,-2.7861020317214713,-2.8322598347689927,-2.832259830230728
-2.8694768436764875,-2.7675830654891156,-2.76918944532258,-2.7360958519022724,-2.8843459537580363,-2.7066126900079697,-2.8003635722789735,-2.8203765124742697,-2.813570208707793,-2.798346657995681,-2.841557792100558,-2.841557787811194
-2.9058059591489824,-2.819221583283317,-2.797670626915963,-2.765414490445242,-2.9093014134922184,-2.768334100046511,-2.841068636225594,-2.8434995967725483,-2.8336955641516632,-2.8169235165251774,-2.871999550987082,-2.8719995466725203
-2.8641111710153373,-2.8143698360085643,-2.791663433371383,-2.7591845943543185,-2.87072954311809,-2.75819181136031,-2.8293617326162472,-2.841743469776185,-2.8465027568177104,-2.8304399714826602,-2.880480796040887,-2.880480792242
-2.926945572702513,-2.891904117249729,-2.8016970749895536,-2.768434659711083,-2.8665095040909514,-2.7741511694986034,-2.849011123543856,-2.848851435533052,-2.865497154995594,-2.847994630686951,-2.9120231375969343,-2.9120231336970943
-2.987831363188418,-2.923201234484275,-2.8153106044194587,-2.7827587866740275,-2.881073069830369,-2.813297551898925,-2.884768624324872,-2.856157001556152,-2.8753666808737206,-2.857507284606431,-2.9339762374684466,-2.9339762333762143
-3.023049508714263,-2.9888979831242244,-2.80990107430738,-2.780261827830159,-2.8630948118491197,-2.82264721515556,-2.8792599574914943,-2.8505675354471443,-2.8934679621260426,-2.874028913398529,-2.939737525529288,-2.9397375220200566
-2.923712794191566,-2.8747934416774754,-2.789592003547174,-2.7585155587019146,-2.753039200612664,-2.7947082451787235,-2.8155152504423375,-2.822194632204855,-2.8745412997997133,-2.858819279526946,-2.939100318561508,-2.9391003143046106
-2.7977654406992567,-2.757108671306543,-2.7352965425783555,-2.699239358040514,-2.617381003986946,-2.690228645097805,-2.6822448378416395,-2.7087330613339757,-2.815715300346036,-2.805254108242438,-2.8169883165877616,-2.8169883123805253
-2.6898571329777026,-2.667906284640054,-2.663775587325288,-2.626200362705223,-2.552271155614062,-2.6255920428237336,-2.6381453929334535,-2.6873261109335838,-2.784570050539973,-2.7793961133992893,-2.7957432499493406,-2.795743245315623
-2.719783533001798,-2.687191775170648,-2.624164033477548,-2.5778581694321048,-2.560913914194629,-2.567352408098973,-2.6063567459715613,-2.666690161263122,-2.7849890878503136,-2.7772781233786694,-2.738320000443955,-2.7383199973994667
-2.7461948771429148,-2.7137051270023482,-2.60973410954431,-2.5560582044783082,-2.5843254042492365,-2.5388777375200675,-2.6076170966011687,-2.6556065806343554,-2.777111951247471,-2.7699782664312487,-2.738647895774024,-2.738647892387684
-2.701473933639566,-2.687405303654245,-2.568091783790379,-2.499759756629744,-2.5738877425216757,-2.40581274202251,-2.4805735045595814,-2.615495068695994,-2.768100437634111,-2.757429159556063,-2.6212082101427727,-2.621208209429416
-2.7178216881856376,-2.7118926256468208,-2.552149800136151,-2.4835137402443723,-2.6748016046871665,-2.4043697342836268,-2.5200022074061206,-2.6208085771291065,-2.782868628283043,-2.7710783152607683,-2.645953634586113,-2.6459536337086305
-2.706997693064452,-2.674489339647496,-2.5498295718383632,-2.483863104163042,-2.706401353195855,-2.4070163873442034,-2.5505554640110852,-2.626939686481917,-2.7988376486415385,-2.785632449722269,-2.666252622991325,-2.66625262211233
-2.696862927172681,-2.6928844011619923,-2.518350962839233,-2.4505854735314103,-2.7796664030389935,-2.390573285841943,-2.54809102402393,-2.6217051754076985,-2.8147609297991525,-2.800115054713385,-2.6410522295197776,-2.6410522298758803
-2.7439850793116958,-2.724649844105447,-2.4886585489165824,-2.420448598294707,-2.8536773492635503,-2.4011331541012373,-2.596999748364163,-2.6414366251478025,-2.8076655460845914,-2.796987148535038,-2.657480750296345,-2.6574807503283533
-2.701958197552929,-2.699654707318838,-2.487310800820228,-2.4192074949918307,-2.799113111603036,-2.3777066533464986,-2.595050348309206,-2.6165371856220663,-2.7790431518094025,-2.769663815637707,-2.6391605180453683,-2.6391605175193256
-2.722391931888226,-2.684738842455038,-2.502906821122714,-2.4354707120114814,-2.803684282334193,-2.3760068278291997,-2.631186683001002,-2.6164298876440055,-2.7902761347197016,-2.7793459528660285,-2.6581074370981534,-2.6581074363078048
-2.6858102175270653,-2.6501983243034672,-2.5338062327327364,-2.472229523555462,-2.8102178404760365,-2.3696579287120763,-2.6437948230519934,-2.6121323686221345,-2.8004527498544776,-2.787439297667432,-2.6633212982093237,-2.663321297346179
-2.7158752464245177,-2.67201560241942,-2.560341624534199,-2.498038820232458,-2.7970021968222647,-2.38056406813885,-2.667939806790006,-2.621156215454848,-2.8093916899331846,-2.796469759118965,-2.6904263296928055,-2.6904263284857857
