model,mean_fz_loss,rank
bekk_lstm_scalar,-2.909400646368453,1
bekk_lstm_mix,-2.8826212579615382,2
neural_bekk_asym_diag,-2.8809043704196466,3
lstm_normal,-2.8699954344792915,4
gru_normal,-2.866210182561566,5
bekk_lstm_vector,-2.85583238422888,6
bekk_symmetric,-2.8461194356256123,7
bekk_asymmetric,-2.8432903995653662,8
lstm_student,-2.8401938652215106,9
gru_student,-2.822145552770953,10
dcc,-2.8151895691394064,11
adcc,-2.8151895674951373,12
