,N,Mean,SD,Skew,Kurtosis,Min,Max,JB,JB p,LB$_{10}(r_t)$,LB$_{10}(r_t)$ p,LB$_{10}(r_t^2)$,LB$_{10}(r_t^2)$ p,ADF,ADF p
^GSPC,6427.0,0.025210259025217202,1.2134599754921362,-0.3526173383756795,14.005877792099948,-12.7652197472817,10.957196759533879,32514.617538830826,0.0,106.3593829948868,2.8866713537680415e-18,5997.817410601034,0.0,-19.93349880367478,0.0
GC=F,6427.0,0.04409616815482107,1.1230857346636471,-0.48405741254043494,9.896030451618286,-12.065691771157459,8.6431656660304,12962.518281618566,0.0,22.646598742714165,0.012128950707449685,578.2512801199629,8.025909324847023e-118,-32.07690639464392,0.0
CL=F,6427.0,0.02672326532513809,2.6206722428972493,-0.09180191317027817,18.755917324489506,-28.220613410748506,31.96336300150673,66376.7733707038,0.0,25.275471741072938,0.004847101701722412,3099.263506657996,0.0,-14.465949677957267,6.726729205368273e-27
^TNX,6427.0,0.015163114071892221,0.48948497404002755,-0.007960884067473478,5.473737736783259,-2.73067658571873,4.13939646630101,1635.0027168345944,0.0,18.54528303432977,0.04643317233721724,1176.998133845982,1.3177450449338444e-246,-59.47356379134484,0.0
