lstm_normal,lstm_student,gru_normal,gru_student,bekk_lstm_scalar,bekk_lstm_vector,bekk_lstm_mix,neural_bekk_asym_diag,bekk_symmetric,bekk_asymmetric,dcc,adcc
-2.8740456922086652,-2.8640103112651936,-2.7984882415303796,-2.7630359922827856,-3.0061565848140734,-2.9042799358177644,-2.9435129493970256,-2.849468441142248,-2.8210216607903087,-2.796680735341916,-2.8565428335262615,-2.856542828757517
-2.8597483810319155,-2.844216472626032,-2.8160517435568972,-2.771053420818426,-2.9988214531906343,-2.920444233023362,-2.9217841333199734,-2.8575929787553287,-2.825788055265052,-2.8020791434070067,-2.8723034227337885,-2.872303417780596
-2.906348578001647,-2.8836972098545237,-2.820519950197988,-2.7755324153249603,-2.944032265431023,-2.8747423924262754,-2.879758318191585,-2.8489982201415938,-2.8296236266106214,-2.8055498825854563,-2.8672260318984573,-2.8672260270179026
-2.876091251235896,-2.879484483314296,-2.820764465146152,-2.787043815368791,-2.933977175180763,-2.860555957996229,-2.82338516989939,-2.8633734483125806,-2.8347657444200243,-2.8130565974228454,-2.8861432632792177,-2.8861432582606867
-2.8873072512798537,-2.8828484584395264,-2.8182802459043,-2.784708972151961,-2.9117023753625206,-2.8376433573817827,-2.7834213164911215,-2.7975616420945872,-2.8205657195314178,-2.8010688101309493,-2.8623706249295813,-2.862370619407901
-2.837652260177315,-2.834443565606996,-2.8177046297924377,-2.804427286267887,-2.868864644123839,-2.8182573469696246,-2.7349245102746202,-2.780775813424542,-2.80791102163015,-2.784518720286146,-2.847485330842143,-2.8474853252678423
-2.7592176622769062,-2.771485336753949,-2.817787331538189,-2.807072555281701,-2.8951058977440676,-2.845319998854448,-2.761218774447068,-2.803906385943,-2.8244114025992437,-2.800231992899089,-2.8725766603547456,-2.872576654930312
-2.7956418257536857,-2.786501713698676,-2.8000048047421693,-2.77977537250478,-2.903558396532665,-2.8347135365353178,-2.761773769064217,-2.7750166822176388,-2.8311228879009884,-2.8060504587378374,-2.841253718759831,-2.8412537149495645
-2.785688728420058,-2.7639567989236316,-2.7920392746932254,-2.7610007662615037,-2.9053075453658472,-2.8217308206248957,-2.7519809519862855,-2.7719445705859407,-2.8342636845040774,-2.8095870889319996,-2.8536034566670128,-2.8536034528370897
-2.7763721360478506,-2.7422416071983813,-2.7592260843424827,-2.729294277109234,-2.8670724611251917,-2.7897982646651043,-2.703028124184239,-2.69557392885262,-2.816802996849286,-2.7939148276317765,-2.8124346056012,-2.812434602158652
-2.7074329718766013,-2.6688107710406253,-2.742413988149715,-2.7281480550695436,-2.8477245678943106,-2.718563129635697,-2.661631195526273,-2.683667367819405,-2.8078442352641475,-2.785399647328846,-2.78291960158264,-2.782919598105694
-2.76405337991135,-2.7317354204452937,-2.762553047289325,-2.753703291756244,-2.931735462332309,-2.7506519276958237,-2.7228129718622505,-2.718083938433397,-2.815733469165826,-2.7932601128199908,-2.807130846377879,-2.807130842741377
-2.7520816251638904,-2.7049677024824974,-2.7870031302883307,-2.7806178846818947,-2.9688538555012913,-2.7678469585135446,-2.757696450089211,-2.75088863109763,-2.7999714388654895,-2.781791966718017,-2.8119669915504764,-2.811966987379508
-2.7849043932907014,-2.729909499307961,-2.809050836325767,-2.8019975412572116,-3.005057133591733,-2.79296363056202,-2.7931685092379093,-2.7806927687733554,-2.803008409595106,-2.7861020317214713,-2.8322598347689927,-2.832259830230728
-2.7433126106149546,-2.7107669978157976,-2.7701976264276014,-2.788294073054639,-2.975089898548804,-2.7597086367161703,-2.7789455916426355,-2.7916653019504167,-2.813570208707793,-2.798346657995681,-2.841557792100558,-2.841557787811194
-2.8544805415733188,-2.8689783135048534,-2.7759146072056975,-2.7896073172226017,-3.013429280227091,-2.843155852101418,-2.816217008060585,-2.850271846227268,-2.8336955641516632,-2.8169235165251774,-2.871999550987082,-2.8719995466725203
-2.792970341658288,-2.8024142645251624,-2.7686482822726624,-2.781514268995105,-2.9876380600415144,-2.839622927930308,-2.799926601604149,-2.8511778129925487,-2.8465027568177104,-2.8304399714826602,-2.880480796040887,-2.880480792242
-2.8426010336963117,-2.8330075190087407,-2.7704670378504317,-2.7771953099460287,-2.968598919760153,-2.834390736018928,-2.8076429384773336,-2.8712836346990342,-2.865497154995594,-2.847994630686951,-2.9120231375969343,-2.9120231336970943
-2.8945054032418716,-2.884882520556125,-2.7888998903799567,-2.787921111176575,-2.956453107776698,-2.866237523497883,-2.832295235492377,-2.886759753396751,-2.8753666808737206,-2.857507284606431,-2.9339762374684466,-2.9339762333762143
-2.8914421343218764,-2.8959275506717677,-2.7846956436872623,-2.7854753434867097,-2.941517901314605,-2.8720809888226255,-2.831081471425729,-2.8797434526734595,-2.8934679621260426,-2.874028913398529,-2.939737525529288,-2.9397375220200566
-2.8516941111124368,-2.8477194448067578,-2.775157850184193,-2.7687552209839965,-2.832090543421332,-2.831612899232606,-2.769904402335559,-2.834483902614801,-2.8745412997997133,-2.858819279526946,-2.939100318561508,-2.9391003143046106
-2.7750445851024432,-2.8115695362431903,-2.686202484115625,-2.6885006380318464,-2.664648419175247,-2.719593861164359,-2.6451689111928083,-2.6442089083023745,-2.815715300346036,-2.805254108242438,-2.8169883165877616,-2.8169883123805253
-2.7144885709566404,-2.7320743375914027,-2.6540801877208433,-2.664901252745797,-2.6256898120095715,-2.6989461563268766,-2.6053540700800593,-2.629102600214246,-2.784570050539973,-2.7793961133992893,-2.7957432499493406,-2.795743245315623
-2.6084843959522597,-2.6780080526526886,-2.5988698963363817,-2.605568713690948,-2.6450227995750497,-2.6540411173575267,-2.5779259908395478,-2.5857483023702965,-2.7849890878503136,-2.7772781233786694,-2.738320000443955,-2.7383199973994667
-2.6352005174776787,-2.735155498168982,-2.5903009834339508,-2.594750845587643,-2.6748439293752106,-2.633420104100815,-2.581453224718305,-2.5815720556280537,-2.777111951247471,-2.7699782664312487,-2.738647895774024,-2.738647892387684
-2.634063649045114,-2.6861232366107712,-2.5524340667505947,-2.537583843224705,-2.543631926343395,-2.4746120211158122,-2.4490654936695457,-2.529383051322847,-2.768100437634111,-2.757429159556063,-2.6212082101427727,-2.621208209429416
-2.6451016795402102,-2.71473916930706,-2.5597509938506335,-2.5487560549977504,-2.59116455631653,-2.4894760501966564,-2.483599042466423,-2.556975780377466,-2.782868628283043,-2.7710783152607683,-2.645953634586113,-2.6459536337086305
-2.6471310907677226,-2.6982169646687257,-2.5588570670666364,-2.5566441141825798,-2.603709795231547,-2.5073651877875567,-2.512807662736138,-2.5829837778132028,-2.7988376486415385,-2.785632449722269,-2.666252622991325,-2.66625262211233
-2.548050421629757,-2.5733567159621407,-2.529389291632535,-2.5297130110703794,-2.636574825870929,-2.486954979328476,-2.5054517328036985,-2.585049735684406,-2.8147609297991525,-2.800115054713385,-2.6410522295197776,-2.6410522298758803
