model,mean_fz_loss,rank
bekk_lstm_mix,-2.8951187235386278,1
neural_bekk_asym_diag,-2.88663318162418,2
bekk_lstm_scalar,-2.8686565250853144,3
bekk_lstm_vector,-2.866391435845969,4
gru_normal,-2.862158890273353,5
gru_student,-2.849599562203575,6
bekk_symmetric,-2.8461194356256123,7
bekk_asymmetric,-2.8432903995653662,8
lstm_normal,-2.8400598639323595,9
lstm_student,-2.824434338776896,10
dcc,-2.8151895691394064,11
adcc,-2.8151895674951373,12
