Date,^GSPC,^TNX
1962-01-03,0.002392825032566215,-0.029999732971191406
1962-01-04,-0.006912602476476515,-0.040000200271606445
1962-01-05,-0.013970230146346019,0.029999971389770508
1962-01-08,-0.007782153276818526,0.010000228881835938
1962-01-09,0.00043391594475483686,0.019999980926513672
1962-01-10,-0.0027514670977550892,0.019999980926513672
1962-01-11,0.005927923911206001,0.009999752044677734
1962-01-12,0.003453706958299385,0.0
1962-01-15,-0.002013221672285681,0.019999980926513672
1962-01-16,-0.0057745435939215994,0.03000020980834961
1962-01-17,-0.010917933669071012,-0.010000228881835938
1962-01-18,0.001024061171976065,-0.009999752044677734
1962-01-19,0.005250130361249106,0.0
1962-01-22,0.000872311187308128,-0.019999980926513672
1962-01-23,-0.007585691354528024,0.019999980926513672
1962-01-24,0.001609490557214599,-0.010000228881835938
1962-01-25,-0.0007313060912075287,0.010000228881835938
1962-01-26,-0.003223936373733416,0.0
1962-01-29,-0.003381547434640808,0.009999752044677734
1962-01-30,0.003968501477475073,-0.009999752044677734
1962-01-31,0.009780359631363034,-0.010000228881835938
1962-02-01,0.006082651671983186,-0.009999752044677734
1962-02-02,0.007909661192237571,-0.010000228881835938
1962-02-05,0.0010022149514377077,-0.009999752044677734
1962-02-06,0.0011441911023704066,-0.010000228881835938
1962-02-07,0.0065536506610328615,0.010000228881835938
1962-02-08,0.002269556465098077,0.0
1962-02-09,-0.0014178149325774214,-0.019999980926513672
1962-02-13,-0.00042583423089315176,-0.019999980926513672
1962-02-14,-0.0004259073016275039,0.0
1962-02-15,0.004533865854002173,-0.010000228881835938
1962-02-16,-0.0021227140502020347,0.0
1962-02-19,-0.0025530889865423845,-0.009999752044677734
1962-02-20,0.003544343215938106,0.039999961853027344
1962-02-21,-0.004823444721083092,-0.019999980926513672
1962-02-23,-0.0022778487766386135,-0.010000228881835938
1962-02-26,-0.005717590037174425,-0.019999980926513672
1962-02-27,0.001861758532712976,0.010000228881835938
1962-02-28,0.0010010683079544336,-0.010000228881835938
1962-03-01,0.003424630495469927,-0.019999980926513672
1962-03-02,-0.0005698672989629117,0.0
1962-03-05,-0.002140280758142765,0.019999980926513672
1962-03-06,-0.0032907012372929145,0.010000228881835938
1962-03-07,-0.0012905477822293676,-0.010000228881835938
1962-03-08,0.007149015042348772,-0.019999980926513672
1962-03-09,0.0032714021998421217,-0.019999980926513672
1962-03-12,-0.0002840028865804811,-0.019999980926513672
1962-03-13,0.002836838047767465,-0.019999980926513228
1962-03-14,0.004381396074193411,0.009999990463256392
1962-03-15,0.002113037275536911,0.029999971389770508
1962-03-16,-0.0016900724753492469,0.0
1962-03-19,-0.0012695391606252215,-0.029999971389770508
1962-03-20,-0.002685250841746978,-0.019999980926513228
1962-03-21,-0.0021251197303966407,-0.050000190734863725
1962-03-22,-0.0015612891893796998,-0.029999971389770952
1962-03-23,0.000709910188207985,0.03999996185302779
1962-03-26,-0.007980626270614799,0.020000219345092773
1962-03-27,-0.002722294773715994,0.00999999046325728
1962-03-28,0.004866246506852967,0.0
1962-03-29,-0.0004284009868182892,0.0
1962-03-30,-0.006592157254257103,-0.04000020027160689
1962-04-02,-0.0025914252576333396,0.0
1962-04-03,-0.008105489256445608,-0.029999971389770952
1962-04-04,-0.004661329714575224,-0.049999952316283736
1962-04-05,0.006113640493067507,0.05999994277954057
1962-04-06,-0.0010164403665493538,-0.029999971389770064
1962-04-09,-0.00772878514227493,0.019999980926513228
1962-04-10,0.0036531056760908953,0.0
1962-04-11,-0.0021901723750579194,0.03999996185302779
1962-04-12,-0.007483009267596152,-0.009999990463256836
1962-04-13,0.0,-0.00999999046325728
1962-04-16,-0.004428096560348926,-0.019999980926513672
1962-04-17,0.004428096560348926,-0.009999990463256392
1962-04-18,0.005434325221663094,-0.009999990463256836
1962-04-19,0.004676315861170011,0.009999990463256836
1962-04-23,-0.0008751103348769718,0.039999961853027344
1962-04-24,-0.0010219680561824873,0.009999990463256836
1962-04-25,-0.011015753752615431,0.010000228881835938
1962-04-26,-0.009795210733907211,0.009999990463256836
1962-04-27,-0.01124871202099964,-0.03000020980834961
1962-04-30,-0.016117198212715067,0.0
1962-05-01,0.007026134032042997,-0.00999999046325728
1962-05-02,0.004404303982623148,0.00999999046325728
1962-05-03,0.008149772382338938,0.0
1962-05-04,-0.004368477578487351,0.009999990463256836
1962-05-07,-0.0033268022493242455,-0.009999990463256836
1962-05-08,-0.012958463330123848,-0.00999999046325728
1962-05-09,-0.01406182531643907,-0.029999971389770064
1962-05-10,-0.010795730783568658,0.009999990463256392
1962-05-11,-0.014577950450005872,-0.009999990463256392
1962-05-14,0.007157039667564646,0.029999971389770064
1962-05-15,0.01868336702893192,0.019999980926514116
1962-05-16,-0.00031120524272409966,-0.009999990463256836
1962-05-17,-0.005304167599230247,0.009999990463256836
1962-05-18,-0.0017221234839510657,0.06000018119812012
1962-05-21,-0.00361038838940253,0.009999990463256836
1962-05-22,-0.019852950892011556,-0.009999990463256836
1962-05-23,-0.019927747892286796,-0.019999980926513228
1962-05-24,-0.008050674884768405,-0.009999990463256836
1962-05-25,-0.019152849764937585,-0.019999980926514116
1962-05-28,-0.06908898349248194,-0.010000228881835938
1962-05-29,0.04543838129057498,0.020000219345092773
1962-05-31,0.026337419004430984,0.00999999046325728
1962-06-01,-0.004201333723986345,-0.00999999046325728
1962-06-04,-0.0361805529245629,-0.009999990463256836
1962-06-05,0.005224658987921238,0.009999990463256836
1962-06-06,0.014143038455664225,0.0
1962-06-07,0.0001712841198138193,-0.020000219345092773
1962-06-08,0.0008557850086887697,-0.009999990463256836
1962-06-11,-0.010836969660764417,0.009999990463256836
1962-06-12,-0.025929966153602102,-0.009999990463256836
1962-06-13,-0.01502174440417825,0.009999990463256836
1962-06-14,-0.021306426486496832,0.030000209808350053
1962-06-15,0.028308868095129114,-0.00999999046325728
1962-06-18,-0.0026874101947900186,0.019999980926514116
1962-06-19,-0.0035945538034694025,0.019999980926513228
1962-06-20,-0.013778356811566361,-0.009999990463256392
1962-06-21,-0.021962655197115932,-0.019999980926513672
1962-06-22,-0.017126603685988506,0.0
1962-06-25,-0.004375533279751043,0.049999952316283736
1962-06-26,-0.0024816480722669176,0.019999980926513672
1962-06-27,0.005337389418486271,-0.009999990463256836
1962-06-28,0.0338318669588662,0.019999980926513672
1962-06-29,0.006229411003185081,0.019999980926513672
1962-07-02,0.020071202746871464,0.0
1962-07-03,0.011215089606324113,0.0
1962-07-05,0.005648729692632415,0.0
1962-07-06,-0.011329616796542652,0.019999980926513672
1962-07-09,0.006742415124819878,0.03000020980834961
1962-07-10,0.011428722653138657,-0.03000020980834961
1962-07-11,0.009223049419598617,-0.029999971389770508
1962-07-12,0.0051831360233389745,0.009999990463256836
1962-07-13,-0.0034523933339523083,0.0
1962-07-16,0.0,0.010000228881835938
1962-07-17,-0.018323574286836397,0.019999980926513672
1962-07-18,-0.010267359070922133,-0.010000228881835938
1962-07-19,0.003906902644768451,0.0
1962-07-20,0.0068887176225889135,-0.009999752044677734
1962-07-23,-0.0001760784473647803,-0.010000228881835938
1962-07-24,-0.007776614435076823,0.010000228881835938
1962-07-25,0.0017727087498426997,0.009999752044677734
1962-07-26,0.0054756186362743264,-0.009999752044677734
1962-07-27,0.00754588647774046,0.009999752044677734
1962-07-30,0.010953792108985283,0.010000228881835938
1962-07-31,0.006892974154886211,0.009999752044677734
1962-08-01,-0.008277328585822197,-0.009999752044677734
1962-08-02,0.003974766196406243,-0.03000020980834961
1962-08-03,0.0024117047260157065,0.010000228881835938
1962-08-06,-0.00638647092242195,0.0
1962-08-07,-0.006776142469821167,0.009999752044677734
1962-08-08,0.0026116096079293882,-0.009999752044677734
1962-08-09,0.0010427768467549114,-0.020000219345092773
1962-08-10,-0.00034747147585889593,0.0
1962-08-13,0.0013891620716810493,0.0
1962-08-14,0.010700808463221634,-0.009999990463256836
1962-08-15,0.007013968502269208,0.0
1962-08-16,-0.00034101377813477995,-0.019999980926513672
1962-08-17,0.006289845455363263,0.0
1962-08-20,0.006082137666451715,-0.019999980926513672
1962-08-21,-0.00421977171871557,0.0
1962-08-22,0.011101877862822462,0.009999990463256836
1962-08-23,-0.0013391032577549922,0.0
1962-08-24,-0.002012055160268922,0.0
1962-08-27,-0.0005036950282795161,0.0
1962-08-28,-0.012844495002558354,0.009999990463256836
1962-08-29,-0.002213727038925306,0.0
1962-08-30,0.0003408975273790915,-0.009999990463256836
1962-08-31,0.007470300097585536,0.009999990463256836
1962-09-04,-0.009517365468980188,0.0
1962-09-05,-0.007542072779738618,0.009999990463256836
1962-09-06,0.00412091378864865,0.019999980926513672
1962-09-07,0.0003426496089051767,0.020000219345092773
1962-09-10,0.0011983172490541705,-0.010000228881835938
1962-09-11,0.0023923351900974055,0.0
1962-09-12,0.00425786216547408,0.0
1962-09-13,-0.0023821584951893016,-0.009999990463256836
1962-09-14,0.0032315467608992066,0.0
1962-09-17,0.00322120206376475,0.0
1962-09-18,-0.0008467200827499965,-0.009999990463256836
1962-09-19,-0.0013561286477044021,0.009999990463256836
1962-09-20,-0.006979343022439188,-0.009999990463256836
1962-09-21,-0.014626472438950877,0.0
1962-09-24,-0.018544925477124607,-0.009999990463256836
1962-09-25,0.0058103520435475176,-0.009999990463256836
1962-09-26,-0.014322542671059146,-0.009999990463256836
1962-09-27,-0.006790609749973697,0.0
1962-09-28,0.00892544297079123,-0.009999990463256836
1962-10-01,-0.013958686994412162,-0.009999990463256836
1962-10-02,0.010932930743479119,-0.009999990463256392
1962-10-03,0.0010689716711516084,-0.019999980926513672
1962-10-04,0.009569467188893732,0.0
1962-10-05,0.006504355011793805,0.019999980926513672
1962-10-08,0.0,0.009999990463256392
1962-10-09,0.002275332522631679,0.019999980926513672
1962-10-10,0.0006990722877153743,-0.019999980926513672
1962-10-11,-0.0033249210766568282,0.009999990463256836
1962-10-15,0.003848871463932646,0.0
1962-10-16,-0.003323109711466543,0.0
1962-10-17,-0.00333425665344933,0.0
1962-10-18,-0.009714802877362594,-0.019999980926513228
1962-10-19,-0.013401433446308175,-0.03999996185302779
1962-10-22,-0.011397700454231163,0.029999971389770952
1962-10-23,-0.02711087933379286,0.029999971389770064
1962-10-24,0.031649327791082094,0.0
1962-10-25,-0.009463227465094981,0.0
1962-10-26,-0.0027464580444327424,-0.009999990463256836
1962-10-29,0.021404776615624677,-0.009999990463256392
1962-10-30,0.01460919763859092,0.0
1962-10-31,-0.00035380254253336574,0.0
1962-11-01,0.010559733416361183,0.0
1962-11-02,0.010969050070070985,-0.009999990463256836
1962-11-05,0.010335983180208785,0.0
1962-11-07,0.006150721899921052,0.0
1962-11-08,-0.006664972014410964,-0.009999990463256836
1962-11-09,0.007856557755827609,-0.00999999046325728
1962-11-13,0.011502161949136003,0.00999999046325728
1962-11-14,0.011703874932631031,0.009999990463256836
1962-11-15,-0.003163219569568554,0.0
1962-11-16,0.003163219569568554,0.019999980926513228
1962-11-19,-0.005667629004982189,0.0
1962-11-20,0.010476541581566856,0.0
1962-11-21,0.005937682033525071,-0.009999990463256392
1962-11-23,0.01193311305551692,0.0
