Date,^GSPC,^TNX
1990-01-02,359.69000244140625,7.940000057220459
1990-01-03,358.760009765625,7.989999771118164
1990-01-04,355.6700134277344,7.980000019073486
1990-01-05,352.20001220703125,7.989999771118164
1990-01-08,353.7900085449219,8.020000457763672
1990-01-09,349.6199951171875,8.020000457763672
1990-01-10,347.30999755859375,8.029999732971191
1990-01-11,348.5299987792969,8.039999961853027
1990-01-12,339.92999267578125,8.100000381469727
1990-01-16,340.75,8.199999809265137
1990-01-17,337.3999938964844,8.1899995803833
1990-01-18,338.19000244140625,8.319999694824219
1990-01-19,339.1499938964844,8.260000228881836
1990-01-22,330.3800048828125,8.270000457763672
1990-01-23,331.6099853515625,8.260000228881836
1990-01-24,330.260009765625,8.380000114440918
1990-01-25,326.0799865722656,8.420000076293945
1990-01-26,325.79998779296875,8.489999771118164
1990-01-29,325.20001220703125,8.5
1990-01-30,322.9800109863281,8.510000228881836
1990-01-31,329.0799865722656,8.430000305175781
1990-02-01,328.7900085449219,8.420000076293945
1990-02-02,330.9200134277344,8.5
1990-02-05,331.8500061035156,8.529999732971191
1990-02-06,329.6600036621094,8.569999694824219
1990-02-07,333.75,8.520000457763672
1990-02-08,332.9599914550781,8.489999771118164
1990-02-09,333.6199951171875,8.3100004196167
1990-02-12,330.0799865722656,8.399999618530273
1990-02-13,331.0199890136719,8.350000381469727
1990-02-14,332.010009765625,8.359999656677246
1990-02-15,334.8900146484375,8.430000305175781
1990-02-16,332.7200012207031,8.420000076293945
1990-02-20,327.989990234375,8.619999885559082
1990-02-21,327.6700134277344,8.619999885559082
1990-02-22,325.70001220703125,8.539999961853027
1990-02-23,324.1499938964844,8.529999732971191
1990-02-26,328.6700134277344,8.460000038146973
1990-02-27,330.260009765625,8.40999984741211
1990-02-28,331.8900146484375,8.510000228881836
1990-03-01,332.739990234375,8.59000015258789
1990-03-02,335.5400085449219,8.539999961853027
1990-03-05,333.739990234375,8.649999618530273
1990-03-06,337.92999267578125,8.59000015258789
1990-03-07,336.95001220703125,8.579999923706055
1990-03-08,340.2699890136719,8.569999694824219
1990-03-09,337.92999267578125,8.649999618530273
1990-03-12,338.6700134277344,8.630000114440918
1990-03-13,336.0,8.729999542236328
1990-03-14,336.8699951171875,8.649999618530273
1990-03-15,338.07000732421875,8.65999984741211
1990-03-16,341.9100036621094,8.59000015258789
