model,mean_fz_loss,rank
gru_normal,-2.8808406644040714,1
bekk_lstm_mix,-2.8750036565245862,2
bekk_lstm_scalar,-2.874096304508113,3
gru_student,-2.8658548360619465,4
neural_bekk_asym_diag,-2.8568275748185648,5
bekk_symmetric,-2.8461194356256123,6
bekk_asymmetric,-2.8432903995653662,7
lstm_normal,-2.8393221018886545,8
bekk_lstm_vector,-2.8260114460886236,9
lstm_student,-2.8177709907506614,10
dcc,-2.8151895691394064,11
adcc,-2.8151895674951373,12
