lstm_normal,lstm_student,gru_normal,gru_student,bekk_lstm_scalar,bekk_lstm_vector,bekk_lstm_mix,neural_bekk_asym_diag,bekk_symmetric,bekk_asymmetric,dcc,adcc
-2.811382790826316,-2.825302365237719,-2.867913644094171,-2.84323622206915,-2.9183868204262113,-2.8109272316442606,-2.8550416608159215,-2.8287988719269297,-2.8210216607903087,-2.796680735341916,-2.8565428335262615,-2.856542828757517
-2.8344655300850308,-2.8461044268351112,-2.8864518193562634,-2.86114332587162,-2.9282750609770707,-2.811917412518251,-2.843823417649611,-2.8390935740260828,-2.825788055265052,-2.8020791434070067,-2.8723034227337885,-2.872303417780596
-2.894630939954499,-2.878737403820917,-2.8993930744130365,-2.872260535412371,-2.886583241712604,-2.7936783967144505,-2.8236957479145763,-2.830906043940199,-2.8296236266106214,-2.8055498825854563,-2.8672260318984573,-2.8672260270179026
-2.830243079980267,-2.7701620662417263,-2.896868834904135,-2.870370838903848,-2.8871687104517965,-2.7858157121358262,-2.8065709670641423,-2.831207721118221,-2.8347657444200243,-2.8130565974228454,-2.8861432632792177,-2.8861432582606867
-2.8214378779697364,-2.7861717957444965,-2.9019761759996006,-2.879821563490965,-2.869550576188333,-2.784409362131835,-2.770177720628171,-2.784174999746442,-2.8205657195314178,-2.8010688101309493,-2.8623706249295813,-2.862370619407901
-2.854135666815143,-2.8116393528259787,-2.8684793168335645,-2.875165885348799,-2.8301171001102725,-2.755182005772624,-2.735100570141467,-2.763885204375696,-2.80791102163015,-2.784518720286146,-2.847485330842143,-2.8474853252678423
-2.828490174925133,-2.8319434617014623,-2.85171070787122,-2.874095394579173,-2.8563214603471163,-2.759138128017237,-2.75092382893631,-2.7924881722235773,-2.8244114025992437,-2.800231992899089,-2.8725766603547456,-2.872576654930312
-2.752061511236756,-2.770732464876267,-2.8330685169656054,-2.8576349702484674,-2.847855706425633,-2.7169306994772455,-2.7381633150639746,-2.784641386020753,-2.8311228879009884,-2.8060504587378374,-2.841253718759831,-2.8412537149495645
-2.7533271533960155,-2.7198938647332627,-2.8096148751924876,-2.8154599725558964,-2.8238526290779604,-2.6868375017571235,-2.724434065962534,-2.7828887254068366,-2.8342636845040774,-2.8095870889319996,-2.8536034566670128,-2.8536034528370897
-2.6401854973596386,-2.6369715757647443,-2.7966592374717667,-2.793587811258832,-2.761117436804661,-2.628417104413023,-2.683506167759553,-2.719108652102962,-2.816802996849286,-2.7939148276317765,-2.8124346056012,-2.812434602158652
-2.563269607419243,-2.5164146456937955,-2.7889268183851184,-2.782509553411177,-2.728691646077876,-2.5867972082060326,-2.6504042027670147,-2.69478275468246,-2.8078442352641475,-2.785399647328846,-2.78291960158264,-2.782919598105694
-2.5809432684044964,-2.5151834150296613,-2.7948171221143467,-2.7876801504944493,-2.796121271857119,-2.6123335591088597,-2.7056975409099038,-2.723056654480161,-2.815733469165826,-2.7932601128199908,-2.807130846377879,-2.807130842741377
-2.695738658488608,-2.6358717751263394,-2.7891431756729776,-2.7866598739714106,-2.8295965277660162,-2.632334180992184,-2.737485302205139,-2.750945902624846,-2.7999714388654895,-2.781791966718017,-2.8119669915504764,-2.811966987379508
-2.6479569189913144,-2.583363740594831,-2.7915195140527334,-2.7872934285267332,-2.8724660143015868,-2.663245874722774,-2.771525188661869,-2.7774846174561185,-2.803008409595106,-2.7861020317214713,-2.8322598347689927,-2.832259830230728
-2.637482470665765,-2.566914131178227,-2.7556714562192766,-2.7589145396964176,-2.8891001441012243,-2.669029654697322,-2.754886066313097,-2.7641903475757132,-2.813570208707793,-2.798346657995681,-2.841557792100558,-2.841557787811194
-2.6653962562300517,-2.628430467357222,-2.795488677361993,-2.7809161619038654,-2.9509579178611327,-2.7398982887782113,-2.7962299651087426,-2.7967127095627724,-2.8336955641516632,-2.8169235165251774,-2.871999550987082,-2.8719995466725203
-2.6952422202338653,-2.664881480318827,-2.7970230974854937,-2.795215238741152,-2.9361236046949477,-2.7519441786566055,-2.77678860361397,-2.7947730207893358,-2.8465027568177104,-2.8304399714826602,-2.880480796040887,-2.880480792242
