lstm_normal,lstm_student,gru_normal,gru_student,bekk_lstm_scalar,bekk_lstm_vector,bekk_lstm_mix,neural_bekk_asym_diag,bekk_symmetric,bekk_asymmetric,dcc,adcc
-2.930528472613258,-2.757806956325,-2.9046620482644325,-2.8320048452431874,-2.8774221907999675,-2.873729323621978,-2.9143330851771987,-2.9236786854826375,-2.8210216607903087,-2.796680735341916,-2.8565428335262615,-2.856542828757517
-2.956069613661974,-2.7883610194235033,-2.9084169039198544,-2.8410399003408355,-2.8879568617792257,-2.892704330570443,-2.903646349561021,-2.929523436665333,-2.825788055265052,-2.8020791434070067,-2.8723034227337885,-2.872303417780596
-3.0058405890625126,-2.828968239205523,-2.9035378937218206,-2.8362174251230767,-2.87438106446975,-2.8769796946484236,-2.8875402387873486,-2.905915834269284,-2.8296236266106214,-2.8055498825854563,-2.8672260318984573,-2.8672260270179026
-2.901946336580635,-2.7713999318378724,-2.9207653693657702,-2.8645856207628664,-2.8802203462250118,-2.8775229634742345,-2.867663484794284,-2.883452147528617,-2.8347657444200243,-2.8130565974228454,-2.8861432632792177,-2.8861432582606867
-2.937541630140358,-2.7830809438488333,-2.9098326097924017,-2.8429950040786,-2.8569750532718348,-2.87333262829912,-2.8230171105679887,-2.824762225750968,-2.8205657195314178,-2.8010688101309493,-2.8623706249295813,-2.862370619407901
-2.7873908134238023,-2.662626734292759,-2.8781436533577756,-2.8391421220478836,-2.812241772376991,-2.847404382865165,-2.7600878349786413,-2.782031192556456,-2.80791102163015,-2.784518720286146,-2.847485330842143,-2.8474853252678423
-2.802890633085968,-2.7156589135396265,-2.8807924628576838,-2.8494930557512714,-2.813538634399775,-2.8476406592124426,-2.7795392319742303,-2.7889377133363586,-2.8244114025992437,-2.800231992899089,-2.8725766603547456,-2.872576654930312
-2.8563125269054193,-2.774699175612107,-2.871431309204005,-2.840399843362815,-2.7881571379416186,-2.799809143956071,-2.7722811312300317,-2.7780910711238906,-2.8311228879009884,-2.8060504587378374,-2.841253718759831,-2.8412537149495645
-2.822580428470606,-2.7529019848166585,-2.8496923246823633,-2.8097252215204125,-2.7672522722650577,-2.7623667813604644,-2.760442971483122,-2.771617032035678,-2.8342636845040774,-2.8095870889319996,-2.8536034566670128,-2.8536034528370897
-2.8083885520412917,-2.762675196547985,-2.8262849495780813,-2.780943834121793,-2.717804885943276,-2.709764202271627,-2.7165871508479498,-2.705055247892595,-2.816802996849286,-2.7939148276317765,-2.8124346056012,-2.812434602158652
-2.7843692396357014,-2.7318840008569976,-2.790305105612391,-2.73942550789728,-2.710951639570904,-2.6712623188874014,-2.6730551320869345,-2.6798846577857702,-2.8078442352641475,-2.785399647328846,-2.78291960158264,-2.782919598105694
-2.828401306618841,-2.7459950802778725,-2.82256940178837,-2.7704433363842895,-2.7969991052820413,-2.7008433098760163,-2.7302199943288814,-2.718661204356561,-2.815733469165826,-2.7932601128199908,-2.807130846377879,-2.807130842741377
-2.7880190118557184,-2.674333105569759,-2.832215041281844,-2.7790834054100397,-2.8426567608690636,-2.7342060914923634,-2.7798231097865416,-2.7626234981610764,-2.7999714388654895,-2.781791966718017,-2.8119669915504764,-2.811966987379508
-2.820496389072736,-2.6660978062122775,-2.843924060854943,-2.789277747329419,-2.892787798672221,-2.778573489033283,-2.8267079258482575,-2.817560485721934,-2.803008409595106,-2.7861020317214713,-2.8322598347689927,-2.832259830230728
-2.743200338527693,-2.626317587042556,-2.8173462057324574,-2.793472659269794,-2.8866803690420464,-2.7634097342358395,-2.796790252834658,-2.789525035538316,-2.813570208707793,-2.798346657995681,-2.841557792100558,-2.841557787811194
-2.7672542985810917,-2.6374869553122946,-2.8615303521965307,-2.833763851358086,-2.94889959811868,-2.822689792808016,-2.8388783921453653,-2.8100492984562693,-2.8336955641516632,-2.8169235165251774,-2.871999550987082,-2.8719995466725203
-2.7303555985241648,-2.6317162854840825,-2.853768256603143,-2.8396817626887163,-2.917997809294534,-2.8108510221571206,-2.8141913307960067,-2.7963688071006305,-2.8465027568177104,-2.8304399714826602,-2.880480796040887,-2.880480792242
-2.7585751974740473,-2.654922274303278,-2.868225996891074,-2.8487738009309354,-2.9255626841753264,-2.8201575574311493,-2.8050346836172393,-2.8024924074113677,-2.865497154995594,-2.847994630686951,-2.9120231375969343,-2.9120231336970943
-2.853876027081599,-2.7625641503110496,-2.8863614133686584,-2.8653603496786704,-2.949098919447837,-2.8567680929983803,-2.819317003229474,-2.8235860455984527,-2.8753666808737206,-2.857507284606431,-2.9339762374684466,-2.9339762333762143
-2.863403247201374,-2.780915780913019,-2.891780814694187,-2.87400516040892,-2.934896928645621,-2.858021082886078,-2.8154288603227418,-2.8377891004889366,-2.8934679621260426,-2.874028913398529,-2.939737525529288,-2.9397375220200566
-2.848818997500148,-2.78220707390707,-2.854427195201682,-2.830650610981041,-2.8290682190326866,-2.822977997466461,-2.7610917240564485,-2.7929844861652313,-2.8745412997997133,-2.858819279526946,-2.939100318561508,-2.9391003143046106
-2.7940889118877013,-2.7175994018948875,-2.7816877729209093,-2.7407513436420965,-2.646399964595393,-2.702624845318119,-2.6532736871385807,-2.634071682933751,-2.815715300346036,-2.805254108242438,-2.8169883165877616,-2.8169883123805253
-2.6588227462143346,-2.5861553923156135,-2.7054224282808272,-2.6791848514188694,-2.572590937605284,-2.635324072182896,-2.6128615370285058,-2.604512784435094,-2.784570050539973,-2.7793961133992893,-2.7957432499493406,-2.795743245315623
-2.722944708487475,-2.7240568419436824,-2.6791006716244246,-2.6433096193461667,-2.527264391894135,-2.5586875717196973,-2.584549020831057,-2.60215406069646,-2.7849890878503136,-2.7772781233786694,-2.738320000443955,-2.7383199973994667
-2.7411762639058503,-2.720104089536516,-2.6574094464315254,-2.6105037819195367,-2.5323445955436448,-2.5059303317674826,-2.577270653193665,-2.611125440793603,-2.777111951247471,-2.7699782664312487,-2.738647895774024,-2.738647892387684
-2.680041241401981,-2.627937109278865,-2.6867930547002494,-2.617691263941364,-2.4771879850795937,-2.420071312480971,-2.4579308584978836,-2.5138433296806024,-2.768100437634111,-2.757429159556063,-2.6212082101427727,-2.621208209429416
-2.6441820362238553,-2.590314017765917,-2.638287146563643,-2.5759710153182223,-2.5329901982820417,-2.4171556311619358,-2.4836372403959133,-2.544672704059435,-2.782868628283043,-2.7710783152607683,-2.645953634586113,-2.6459536337086305
-2.6554086486633377,-2.584404158838441,-2.6021222974208422,-2.552520937902484,-2.5514907289430155,-2.4088648229248473,-2.506312222959125,-2.570028896141412,-2.7988376486415385,-2.785632449722269,-2.666252622991325,-2.66625262211233
-2.6904069006075764,-2.6179801179268396,-2.614527350483619,-2.5673828462077153,-2.5808069143906156,-2.4066125213820517,-2.496917766910076,-2.5748058969678755,-2.8147609297991525,-2.800115054713385,-2.6410522295197776,-2.6410522298758803
-2.644145129618848,-2.573824817225023,-2.570410706199501,-2.531537178194494,-2.653913888770451,-2.4284971322945585,-2.5214512264046967,-2.6111570058106404,-2.8076655460845914,-2.796987148535038,-2.657480750296345,-2.6574807503283533
-2.6904766187017493,-2.588877448930643,-2.5501021850689853,-2.51900567021925,-2.648128714164655,-2.4100784748667405,-2.5089046687082996,-2.587689127534195,-2.7790431518094025,-2.769663815637707,-2.6391605180453683,-2.6391605175193256
-2.6903416370093636,-2.5381382918278956,-2.5502186243855722,-2.5244236781928593,-2.6832193973467726,-2.4217515129700105,-2.5345327158936457,-2.6266274698878553,-2.7902761347197016,-2.7793459528660285,-2.6581074370981534,-2.6581074363078048
-2.7121532491097966,-2.5900117063104355,-2.581403822957948,-2.5523133210492825,-2.7062066571000223,-2.437066520647027,-2.54507221102487,-2.6338332380021163,-2.8004527498544776,-2.787439297667432,-2.6633212982093237,-2.663321297346179
-2.705542721021021,-2.5718160783021444,-2.605432316965011,-2.583265871463304,-2.7286879970818245,-2.4541198989631323,-2.5597880917173277,-2.65145935655186,-2.8093916899331846,-2.796469759118965,-2.6904263296928055,-2.6904263284857857
-2.7321848193032894,-2.6010321720344143,-2.61335257350024,-2.5920315354398795,-2.745036707855313,-2.460957603708234,-2.5805736807286577,-2.6770043552696263,-2.824516495323455,-2.809943692405848,-2.7123663730132317,-2.712366371732481
-2.7439930967425195,-2.63166901163016,-2.6223282304688507,-2.600392454474806,-2.726042236105058,-2.475624838884025,-2.5859849410282325,-2.6791975399951884,-2.824058783397255,-2.8060454215534616,-2.7311894477885645,-2.7311894460994792
-2.735232154730247,-2.558337661389829,-2.604857234670601,-2.582326343541928,-2.724783662312192,-2.508778739990748,-2.611889504859237,-2.7047578551547553,-2.7978425870259853,-2.7846084826148436,-2.7409496799420405,-2.7409496773793665
-2.6547674381626596,-2.519439378595124,-2.614693509919608,-2.6071867717507677,-2.701802504585912,-2.4959623641913726,-2.609131548246111,-2.7044362686456567,-2.8031810131556107,-2.7917786453694275,-2.749614205413866,-2.7496142030441413
-2.6846261600120966,-2.5698811757912496,-2.614324701671415,-2.599374553859278,-2.724825988276498,-2.52312504100126,-2.6363785419813035,-2.7432804878789483,-2.810758946843625,-2.8000858038577356,-2.774473201206148,-2.7744731983357465
-2.717625244552841,-2.5450072905216627,-2.631947966046761,-2.617388686283691,-2.7409203296530342,-2.5605519103534564,-2.6722483878749945,-2.765208442710142,-2.8255386596107686,-2.8135050211572814,-2.7936329342875337,-2.7936329312678416
-2.759983207960468,-2.6100513761566138,-2.6759285610957226,-2.6505728520208502,-2.7209234249996674,-2.58535947952499,-2.6655148118841687,-2.714861410396123,-2.7973246739579856,-2.7858408155474277,-2.7618417083896984,-2.761841704925037
-2.849122668610108,-2.7107683929055733,-2.6788168605856573,-2.64579651962562,-2.7225074293934783,-2.5947145293230256,-2.6748323296268754,-2.7207307071993427,-2.7992744390348054,-2.7872595409796888,-2.763265066492099,-2.7632650628345683
-2.759008896066494,-2.582262192476609,-2.6770361757516437,-2.63886890479292,-2.7799328659583065,-2.6235029961372924,-2.7287422261436185,-2.7723757160582005,-2.813419546922974,-2.8008040547160222,-2.7888537351410334,-2.788853731194002
-2.8331226405415952,-2.659127295388389,-2.697116391383656,-2.6651832856069855,-2.830461140299352,-2.673652086670668,-2.784007553081661,-2.8282822392489724,-2.8272088092782184,-2.813504198977596,-2.8158895724897897,-2.815889568333063
-2.8566672921411227,-2.6723249394442044,-2.705786404650712,-2.6667213151379907,-2.8107269286246463,-2.6729344556165215,-2.7716567341123026,-2.8341689632781026,-2.833324136075988,-2.8181802389635355,-2.800113112216606,-2.800113108422764
-2.855934664550897,-2.6815321931385947,-2.7471880370139914,-2.6981102522437728,-2.8314685017610994,-2.6791590628262694,-2.773131394424455,-2.829126740911586,-2.8419896955146,-2.8258225838725766,-2.800142608458404,-2.8001426051657887
-2.876082224289344,-2.7081066420907174,-2.753601690865896,-2.695043139356338,-2.8329996252955203,-2.6841595080757505,-2.767720206541301,-2.8216498099680365,-2.8456959742590238,-2.8296648481890854,-2.8090987642482155,-2.8090987608548326
-2.872473028798617,-2.706739261730787,-2.7200183910354525,-2.675998090412215,-2.868614005281424,-2.7166683964371283,-2.793129478066252,-2.85609989502358,-2.8402523856463286,-2.8251880645052405,-2.8162580726542656,-2.816258068873345
-2.85598285130795,-2.650062000895701,-2.7215647159255085,-2.6881061085413425,-2.8866511121437637,-2.733964476789356,-2.807556743136175,-2.8811706022434307,-2.8552573592590393,-2.8391209211192683,-2.8312325348927962,-2.831232531266573
-2.8304399986366304,-2.657724527193462,-2.745574162636787,-2.7046381842799763,-2.9159609323409916,-2.768690086373079,-2.8279241784780673,-2.900716933055156,-2.8708408628695015,-2.853805644363746,-2.8544874175282753,-2.854487413926038
-2.8719357581748146,-2.6979812752244112,-2.759810546385661,-2.713702784234362,-2.9074818344808637,-2.776709073102157,-2.822908444254931,-2.892068733998949,-2.8848239911901685,-2.8673702891722823,-2.8752791213503457,-2.875279117386081
