model,mean_fz_loss,rank
neural_bekk_asym_diag,-2.9161538080321683,1
bekk_lstm_scalar,-2.915884001414216,2
bekk_lstm_mix,-2.9020314262151006,3
gru_normal,-2.8693043468166612,4
bekk_lstm_vector,-2.8692294816811286,5
lstm_normal,-2.8680932101745853,6
bekk_symmetric,-2.8461194356256123,7
bekk_asymmetric,-2.8432903995653662,8
gru_student,-2.8411701709365778,9
dcc,-2.8151895691394064,10
adcc,-2.8151895674951373,11
lstm_student,-2.7946200487708195,12
